zone_id,zone_name,province,prov_n,name_n,match_score,match_method,matched
LOm8B3vy1qR,Aketi,Bas-Uele,bas uele,aketi,1.0,exact,True
ebKZ38Ejpb5,Bondo,Bas-Uele,bas uele,bondo,1.0,exact,True
pggZxV6O3iF,Buta,Bas-Uele,bas uele,buta,1.0,exact,True
QU7amTjhWlQ,Ganga,Bas-Uele,bas uele,ganga,1.0,exact,True
wqWNVs3uxpv,Likati,Bas-Uele,bas uele,likati,1.0,exact,True
jFTjaBOa844,Monga,Bas-Uele,bas uele,monga,1.0,exact,True
iqV2dwy0B1b,Poko,Bas-Uele,bas uele,poko,,,False
EgtXyZdGsLP,Titule,Bas-Uele,bas uele,titule,1.0,exact,True
MMnBp2lllhf,Bolenge,Equateur,equateur,bolenge,1.0,exact,True
lW6uPgrLYfi,Bolomba,Equateur,equateur,bolomba,1.0,exact,True
dseqqnd0Nuw,Bomongo,Equateur,equateur,bomongo,1.0,exact,True
ER2ozdS2Ysm,Ingende,Equateur,equateur,ingende,1.0,exact,True
p40o8g3kdQL,Irebu,Equateur,equateur,irebu,1.0,exact,True
hH0vfyk0M5B,Lukolela,Equateur,equateur,lukolela,1.0,exact,True
nXXpnAQ8M3v,Makanza,Equateur,equateur,makanza,1.0,exact,True
pBzecjfopeA,Mampoko,Equateur,equateur,mampoko,,,False
DmRUZqBRNzB,Mbandaka,Equateur,equateur,mbandaka,1.0,exact,True
J0LvPM9HPVN,Wangata,Equateur,equateur,wangata,1.0,exact,True
GpdRlogsSiE,Kafubu,Haut-Katanga,haut katanga,kafubu,1.0,exact,True
uocpzPZHiEo,Kamalondo,Haut-Katanga,haut katanga,kamalondo,1.0,exact,True
NR5cDy2jhiJ,Kambove,Haut-Katanga,haut katanga,kambove,1.0,exact,True
zMfBT8xVQeH,Kampemba,Haut-Katanga,haut katanga,kampemba,1.0,exact,True
bAFJ18IAf2S,Kapolowe,Haut-Katanga,haut katanga,kapolowe,1.0,exact,True
Vue5tcMpaGh,Kasenga,Haut-Katanga,haut katanga,kasenga,1.0,exact,True
OcTqzK4K1RV,Kashobwe,Haut-Katanga,haut katanga,kashobwe,1.0,exact,True
nhdQUgOeBQU,Katuba,Haut-Katanga,haut katanga,katuba,1.0,exact,True
IOin37HS2Wz,Kenya,Haut-Katanga,haut katanga,kenya,1.0,exact,True
Q22qlkhPQDO,Kikula,Haut-Katanga,haut katanga,kikula,1.0,exact,True
Kth7MQGYcrE,Kilela Balanda,Haut-Katanga,haut katanga,kilela balanda,1.0,exact,True
ZMH0kkBQFs9,Kipushi,Haut-Katanga,haut katanga,kipushi,1.0,exact,True
QA2FRWLQqWE,Kisanga,Haut-Katanga,haut katanga,kisanga,1.0,exact,True
fQLRnttyYlx,Likasi,Haut-Katanga,haut katanga,likasi,1.0,exact,True
H8vCqAKUlyX,Lubumbashi,Haut-Katanga,haut katanga,lubumbashi,1.0,exact,True
nNFVLFmkaAz,Lukafu,Haut-Katanga,haut katanga,lukafu,1.0,exact,True
rYWmyhhl1LP,Mitwaba,Haut-Katanga,haut katanga,mitwaba,1.0,exact,True
QteKQ66ixqO,Mumbunda,Haut-Katanga,haut katanga,mumbunda,1.0,exact,True
EofZhh5yYMG,Panda,Haut-Katanga,haut katanga,panda,1.0,exact,True
fdlN13eHB5u,Pweto,Haut-Katanga,haut katanga,pweto,1.0,exact,True
YFSLTwHFlOk,Ruashi,Haut-Katanga,haut katanga,ruashi,1.0,exact,True
CSwaGvyMS6Z,Sakania,Haut-Katanga,haut katanga,sakania,1.0,exact,True
BdGu22qs6aS,Tshamilemba,Haut-Katanga,haut katanga,tshamilemba,1.0,exact,True
OyzUIt0IaeY,Baka,Haut-Lomami,haut lomami,baka,1.0,exact,True
glucPFMOELN,Bukama,Haut-Lomami,haut lomami,bukama,1.0,exact,True
FWbGIJwFtFw,Butumba,Haut-Lomami,haut lomami,butumba,1.0,exact,True
BU8zas1K8mi,Kabondo Dianda,Haut-Lomami,haut lomami,kabondo dianda,1.0,exact,True
kWcBPRsa7lA,Kabongo,Haut-Lomami,haut lomami,kabongo,1.0,exact,True
T0YXktZkPCF,Kamina,Haut-Lomami,haut lomami,kamina,1.0,exact,True
guov7iiEM6c,Kaniama,Haut-Lomami,haut lomami,kaniama,1.0,exact,True
qZdoTKoMddO,Kinkondja,Haut-Lomami,haut lomami,kinkondja,1.0,exact,True
N3b4xbGIP6r,Malemba Nkulu,Haut-Lomami,haut lomami,malemba nkulu,1.0,exact,True
XdR0dqdFNt4,Mukanga,Haut-Lomami,haut lomami,mukanga,1.0,exact,True
hdDyVXgN46J,Mulongo,Haut-Lomami,haut lomami,mulongo,1.0,exact,True
cgc7FkCPcKb,Songa,Haut-Lomami,haut lomami,songa,1.0,exact,True
NC2xavZLq2a,Aba,Haut-Uele,haut uele,aba,1.0,exact,True
qwBasnNFRFW,Boma Mangbetu,Haut-Uele,haut uele,boma mangbetu,1.0,exact,True
GkqfQB4CBwt,Dungu,Haut-Uele,haut uele,dungu,1.0,exact,True
H0UZDpNtJ17,Faradje,Haut-Uele,haut uele,faradje,1.0,exact,True
h1dItcsoHRw,Gombari,Haut-Uele,haut uele,gombari,1.0,exact,True
lW6NlTXqGcv,Isiro,Haut-Uele,haut uele,isiro,1.0,exact,True
yNXb6VSdyPw,Makoro,Haut-Uele,haut uele,makoro,1.0,exact,True
PDPn74NtJzs,Niangara,Haut-Uele,haut uele,niangara,1.0,exact,True
ZxQY9szHMx5,Pawa,Haut-Uele,haut uele,pawa,1.0,exact,True
EGoMVOvVUAp,Rungu,Haut-Uele,haut uele,rungu,1.0,exact,True
ET5R8zSN3gm,Wamba,Haut-Uele,haut uele,wamba,1.0,exact,True
mS2mByLHkzL,Watsa,Haut-Uele,haut uele,watsa,1.0,exact,True
QAjDPUD5eCo,Adi,Ituri,ituri,adi,1.0,exact,True
CLboGR4F3lj,Adja,Ituri,ituri,adja,1.0,exact,True
yKlg7zZ2xlH,Angumu,Ituri,ituri,angumu,1.0,exact,True
fM8IqjhdeyL,Ariwara,Ituri,ituri,ariwara,1.0,exact,True
v8PqffapuVl,Aru,Ituri,ituri,aru,1.0,exact,True
DFcltLEKLxj,Aungba,Ituri,ituri,aungba,1.0,exact,True
Uc3GqWS8C0w,Bambu,Ituri,ituri,bambu,1.0,exact,True
yS0pmMtanuT,Biringi,Ituri,ituri,biringi,1.0,exact,True
rLadlFjzCh7,Boga,Ituri,ituri,boga,1.0,exact,True
GPi6i83o7l6,Bunia,Ituri,ituri,bunia,1.0,exact,True
ApdB8z3Wrxt,Damas,Ituri,ituri,damas,1.0,exact,True
OIhgsXcZf6x,Drodro,Ituri,ituri,drodro,1.0,exact,True
FDNwbfrJhkA,Fataki,Ituri,ituri,fataki,1.0,exact,True
X8zFJ7DJlRD,Gety,Ituri,ituri,gety,0.8888888888888888,fuzzy,True
SkEKQLSulmp,Kambala,Ituri,ituri,kambala,1.0,exact,True
sbyWSsdZ3tj,Kilo,Ituri,ituri,kilo,1.0,exact,True
i2mtQy4nTmD,Komanda,Ituri,ituri,komanda,1.0,exact,True
n1N4M95juaC,Laybo,Ituri,ituri,laybo,1.0,exact,True
xGWcGHazqtw,Lita,Ituri,ituri,lita,1.0,exact,True
qqGoQGSp1Dw,Logo,Ituri,ituri,logo,1.0,exact,True
xp3Y1OXHZLj,Lolwa,Ituri,ituri,lolwa,1.0,exact,True
seNn0NUsKYn,Mahagi,Ituri,ituri,mahagi,1.0,exact,True
RjHZChl5gJQ,Mambasa,Ituri,ituri,mambasa,1.0,exact,True
YpXUkTbtAPA,Mandima,Ituri,ituri,mandima,1.0,exact,True
nv8tx681Gjd,Mongbwalu,Ituri,ituri,mongbwalu,0.9411764705882353,fuzzy,True
tWlaqwSUheI,Nia Nia,Ituri,ituri,nia nia,1.0,exact,True
TCE5waEW7Fi,Nizi,Ituri,ituri,nizi,1.0,exact,True
mGTaa8TFifO,Nyankunde,Ituri,ituri,nyankunde,1.0,exact,True
gyRgzU4sTgY,Nyarambe,Ituri,ituri,nyarambe,1.0,exact,True
hWMdKGgsAIz,Rethy,Ituri,ituri,rethy,1.0,exact,True
a2aJcbwnjoK,Rimba,Ituri,ituri,rimba,1.0,exact,True
vPxN2nZnBXK,Rwampara,Ituri,ituri,rwampara,1.0,exact,True
rhj4btTd3i0,Tchomia,Ituri,ituri,tchomia,1.0,exact,True
bNFyJIkjMdY,Banga Lubaka,Kasaï,kasai,banga lubaka,1.0,exact,True
Z3lr3MOHNLH,Dekese,Kasaï,kasai,dekese,1.0,exact,True
g9sayFS8d1p,Ilebo,Kasaï,kasai,ilebo,1.0,exact,True
y1bSl3YWtJm,Kakenge,Kasaï,kasai,kakenge,1.0,exact,True
BTGp4czwZRN,Kamonia,Kasaï,kasai,kamonia,1.0,exact,True
YyPtkSv7bB3,Kanzala,Kasaï,kasai,kanzala,1.0,exact,True
d9la4YKNnto,Luebo,Kasaï,kasai,luebo,1.0,exact,True
vy2yqOs0J70,Mikope,Kasaï,kasai,mikope,1.0,exact,True
qdhh0JFWiW2,Mushenge,Kasaï,kasai,mushenge,1.0,exact,True
dw1XnGf2aaU,Mweka,Kasaï,kasai,mweka,1.0,exact,True
phRBB1s5LJX,Ndjoko Mpunda,Kasaï,kasai,ndjoko mpunda,1.0,exact,True
rsaI3zncNG9,Tshikapa,Kasaï,kasai,tshikapa,1.0,exact,True
HYPBUncgldT,Bena Leka,Kasaï Central,kasai central,bena leka,,,False
CXIGn9khu8A,Bena Tshadi,Kasaï Central,kasai central,bena tshadi,,,False
F8Spet7wqMK,Demba,Kasaï Central,kasai central,demba,,,False
Ko8qaFXjOIM,Katende,Kasaï Central,kasai central,katende,,,False
dwBRSfVBpk6,Katoka,Kasaï Central,kasai central,katoka,,,False
lRLzCt3aMHM,Luambo,Kasaï Central,kasai central,luambo,1.0,exact,True
etpyShZCZEs,Luiza,Kasaï Central,kasai central,luiza,,,False
SAt8yoeSMjD,Lukonga,Kasaï Central,kasai central,lukonga,,,False
csMZZqDFCvW,Mikalayi,Kasaï Central,kasai central,mikalayi,,,False
Ied3F9RYVfg,Muetshi,Kasaï Central,kasai central,muetshi,,,False
wq3tWiKJkNr,Ndesha,Kasaï Central,kasai central,ndesha,,,False
U6rNBblejC5,Tshikaji,Kasaï Central,kasai central,tshikaji,1.0,exact,True
xx5xiY5vVBa,Bipemba,Kasaï Oriental,kasai oriental,bipemba,1.0,exact,True
ZxyZ7L3ynso,Bonzola,Kasaï Oriental,kasai oriental,bonzola,1.0,exact,True
f1b3q0aLFzW,Diulu,Kasaï Oriental,kasai oriental,diulu,1.0,exact,True
k7iudxSjdn7,Kabeya Kamwanga,Kasaï Oriental,kasai oriental,kabeya kamwanga,1.0,exact,True
HN9etyIXrEE,Kansele,Kasaï Oriental,kasai oriental,kansele,1.0,exact,True
ucEXrvC3lau,Lukelenge,Kasaï Oriental,kasai oriental,lukelenge,1.0,exact,True
BjbUZ5acV7t,Bandalungwa,Kinshasa,kinshasa,bandalungwa,1.0,exact,True
uw3SOxNTDP4,Barumbu,Kinshasa,kinshasa,barumbu,1.0,exact,True
ShcGSNMpF7z,Binza Meteo,Kinshasa,kinshasa,binza meteo,1.0,exact,True
m5B0okd0KaZ,Binza Ozone,Kinshasa,kinshasa,binza ozone,1.0,exact,True
QzpHCAKe31e,Biyela,Kinshasa,kinshasa,biyela,1.0,exact,True
sZ2goXLKmQX,Bumbu,Kinshasa,kinshasa,bumbu,1.0,exact,True
L3vMLScAbZ6,Gombe,Kinshasa,kinshasa,gombe,1.0,exact,True
D1jF9OzETge,Kalamu 1,Kinshasa,kinshasa,kalamu 1,1.0,exact,True
Z3DMBdrM8Df,Kalamu 2,Kinshasa,kinshasa,kalamu 2,1.0,exact,True
TuzDrpZ9zzl,Kasa Vubu,Kinshasa,kinshasa,kasa vubu,1.0,exact,True
wTaqhPcijDM,Kikimi,Kinshasa,kinshasa,kikimi,1.0,exact,True
cycttnJlR4L,Kimbanseke,Kinshasa,kinshasa,kimbanseke,1.0,exact,True
NwNyAitXVsr,Kingabwa,Kinshasa,kinshasa,kingabwa,1.0,exact,True
ZTt8HbFGrY4,Kingasani,Kinshasa,kinshasa,kingasani,1.0,exact,True
xZy8t34pvs6,Kinshasa,Kinshasa,kinshasa,kinshasa,1.0,exact,True
oeP2sQLMCuy,Kintambo,Kinshasa,kinshasa,kintambo,1.0,exact,True
Vv9L3W7VMrX,Kisenso,Kinshasa,kinshasa,kisenso,0.9333333333333333,fuzzy,True
Ab6jrKWO5EZ,Kokolo,Kinshasa,kinshasa,kokolo,1.0,exact,True
tCLXgZBBLQ0,Lemba,Kinshasa,kinshasa,lemba,1.0,exact,True
JhJFxKnFvmJ,Limete,Kinshasa,kinshasa,limete,1.0,exact,True
qbe5m6fVfMT,Lingwala,Kinshasa,kinshasa,lingwala,1.0,exact,True
SqWL31RNyKx,Makala,Kinshasa,kinshasa,makala,1.0,exact,True
tkbMhp2kIT2,Maluku 1,Kinshasa,kinshasa,maluku 1,1.0,exact,True
nq4LAyXUm8a,Maluku 2,Kinshasa,kinshasa,maluku 2,1.0,exact,True
F0zQH8NbaIx,Masina 1,Kinshasa,kinshasa,masina 1,1.0,exact,True
hL8oJfWHx3g,Masina 2,Kinshasa,kinshasa,masina 2,1.0,exact,True
UrJlHRGZGGJ,Matete,Kinshasa,kinshasa,matete,1.0,exact,True
ubl3NORPhsC,Mont Ngafula 1,Kinshasa,kinshasa,mont ngafula 1,1.0,exact,True
gMhYDNcoZSe,Mont Ngafula 2,Kinshasa,kinshasa,mont ngafula 2,1.0,exact,True
rK2ODHilbAP,Ndjili,Kinshasa,kinshasa,ndjili,1.0,exact,True
vvrhCzWzc0J,Ngaba,Kinshasa,kinshasa,ngaba,1.0,exact,True
LSvg2jR0rEQ,Ngiri Ngiri,Kinshasa,kinshasa,ngiri ngiri,1.0,exact,True
m0D9iUAjJ1G,Nsele,Kinshasa,kinshasa,nsele,1.0,exact,True
kyBo3gA8qoh,Police,Kinshasa,kinshasa,police,1.0,exact,True
nbSOIch7Mbc,Selembao,Kinshasa,kinshasa,selembao,1.0,exact,True
VGFWIr5Rx1D,Boko Kivulu,Kongo Central,kongo central,boko kivulu,,,False
djWn21U4AVy,Boma,Kongo Central,kongo central,boma,1.0,exact,True
vquecO03tD0,Boma Bungu,Kongo Central,kongo central,boma bungu,1.0,exact,True
MjmIRJaAC1H,Gombe Matadi,Kongo Central,kongo central,gombe matadi,1.0,exact,True
DD5m0lzETfF,Inga,Kongo Central,kongo central,inga,1.0,exact,True
bV04pTUIL8A,Kangu,Kongo Central,kongo central,kangu,1.0,exact,True
bBTWb8cD9Z3,Kimpangu,Kongo Central,kongo central,kimpangu,1.0,exact,True
XXKTLp8q7wJ,Kimpese,Kongo Central,kongo central,kimpese,1.0,exact,True
pZobW0wXW6e,Kisantu,Kongo Central,kongo central,kisantu,1.0,exact,True
ADqfcJ05GHD,Kitona,Kongo Central,kongo central,kitona,1.0,exact,True
TQ5nmMVD9uY,Kizu,Kongo Central,kongo central,kizu,1.0,exact,True
ZekPSH5fUQ0,Kuimba,Kongo Central,kongo central,kuimba,1.0,exact,True
DZV9ipxIsg1,Kwilu Ngongo,Kongo Central,kongo central,kwilu ngongo,1.0,exact,True
KlQNBFiC8Cf,Lukula,Kongo Central,kongo central,lukula,1.0,exact,True
yb4Q3Xo1EUo,Massa,Kongo Central,kongo central,massa,0.8888888888888888,fuzzy,True
pFhuqRaXTSO,Matadi,Kongo Central,kongo central,matadi,1.0,exact,True
PDfWsEoWLcy,Mbanza Ngungu,Kongo Central,kongo central,mbanza ngungu,1.0,exact,True
Zbg4fiy6f3t,Muanda,Kongo Central,kongo central,muanda,1.0,exact,True
fuiphWnOGii,Ngidinga,Kongo Central,kongo central,ngidinga,1.0,exact,True
n0NjjahdTLk,Nsona Mpangu,Kongo Central,kongo central,nsona mpangu,0.9565217391304348,fuzzy,True
fWrUdkX9JEv,Seke Banza,Kongo Central,kongo central,seke banza,1.0,exact,True
hniXpSX7Zrq,Tshela,Kongo Central,kongo central,tshela,1.0,exact,True
ZRDAZVZ4HMV,Vaku,Kongo Central,kongo central,vaku,1.0,exact,True
