date,organization,country,activity_type,title,summary,details,source_name,source_url,confidence_level,priority_area
2026-06-13,CDC,United States / global,situation summary / preparedness,Source updated: Ebola Outbreak: Current Situation | Ebola | CDC,Automatically detected change in a monitored official/institutional source.,Learn about the current outbreak of Ebola disease affecting DRC and Uganda.,CDC Ebola current situation,https://www.cdc.gov/ebola/situation-summary/index.html,auto-detected page change; human review required,clinical and travel preparedness
2026-06-01,CEPI,Global; DRC; Uganda,Vaccine R&D financing,CEPI fast-tracks three Bundibugyo ebolavirus vaccine candidates,CEPI announced funding for a portfolio of vaccine candidates.,"CEPI is accelerating three investigational vaccines targeting Bundibugyo ebolavirus: IAVI rVSV, Moderna mRNA and University of Oxford/SII ChAdOx1 platforms. This is the key dashboard item for vaccine development monitoring.",CEPI,https://cepi.net/cepi-fast-tracks-three-bundibugyo-ebolavirus-vaccine-candidates,High,vaccine R&D
2026-06-01,CDC,United States; DRC; Uganda,Travel and domestic readiness,CDC current situation page updated for DRC/Uganda Bundibugyo outbreak,CDC describes response and risk assessment.,"CDC states it is responding to the outbreak in remote areas of DRC and Uganda, no U.S. cases have been confirmed to date, and the overall risk to the U.S. public and travelers remains low. The page links to travel and clinician guidance relevant to importation preparedness.",CDC current situation,https://www.cdc.gov/ebola/situation-summary/index.html,High,preparedness
2026-05-31,WHO + DRC Government,DRC,Joint statement,Joint statement by the Government of DRC and WHO,Joint statement concerning the Bundibugyo virus disease outbreak.,"Statement consolidates national and WHO messaging, including outbreak response, community trust and international coordination. Use this as a high-priority source for policy and response narrative.",WHO statement,https://www.who.int/news/item/31-05-2026-joint-statement-by-the-government-of-the-democratic-republic-of-the-congo-and-who-concerning-the-outbreak-of-ebola-disease-caused-by-the-bundibugyo-virus,High,coordination
2026-05-30,WHO AFRO,DRC,Clinical care and recovery,Four health workers recover from Ebola in DRC,WHO AFRO reported recovery of health workers and emphasized early care.,Five recoveries including health workers were reported. The item is operationally important because it emphasizes survival with early dedicated care despite no licensed vaccine or treatment for Bundibugyo virus.,WHO AFRO,https://www.afro.who.int/pt/node/23307,High,clinical care
2026-05-29,WHO,DRC; Uganda,Epidemiological update,Disease Outbreak News DON605,WHO DON605 provides latest official situation for DRC and Uganda as of 27/29 May.,"WHO reported 125 confirmed cases and 17 confirmed deaths in DRC as of 27 May, with 906 suspected cases and 223 suspected deaths, plus 9 confirmed cases and 1 death in Uganda as of 29 May. Use this source to reconcile suspected/confirmed categories.",WHO DON605,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON605,High,epidemiology
2026-05-28,WHO R&D Blueprint,Global,Therapeutics prioritization,Technical Advisory Group report on therapeutics prioritization,WHO R&D Blueprint published a technical advisory report on candidate therapeutics.,"This report should be used to extract candidate products, rationale, evidence level, trial-readiness and ethics considerations. It is particularly important for MBP134, maftivimab/regeneron antibodies, remdesivir/obeldesivir and supportive-care endpoints.",WHO R&D Blueprint,https://www.who.int/teams/blueprint/ebolavirus,High,therapeutics R&D
2026-05-28,WHO R&D Blueprint,Global,Vaccine prioritization,Technical Advisory Group report on candidate vaccine prioritization,WHO R&D Blueprint published candidate vaccine prioritization report.,"Use this item to structure vaccine candidate fields: platform, available doses, animal data, clinical trial readiness, use setting, evidence gap and ethical requirements.",WHO R&D Blueprint,https://www.who.int/teams/blueprint/ebolavirus,High,vaccine R&D
2026-05-28,WHO,Global; affected areas,Mass gathering guidance,WHO guidance for mass gathering events attended by individuals from areas with documented Bundibugyo virus detection,WHO published mass-gathering guidance.,"Relevant to international spread risk, event risk assessment and travel-related surveillance; include in public health tracker but separate from R&D evidence.",WHO publications,https://www.who.int/emergencies/situations/ebola-outbreak---drc-2026,High,risk assessment
2026-05-28,WHO,Global; DRC; Uganda,R&D guidance,Experts advise on candidate treatments and vaccines for Bundibugyo virus disease,WHO expert groups assessed candidate countermeasures.,WHO convened expert and advisory groups to evaluate vaccines and therapeutics for prevention and treatment of BVD. This is the primary global R&D prioritization source and should be tracked for trial recommendations.,WHO news release,https://www.who.int/news/item/28-05-2026-experts-convened-by-who-advise-on-candidate-treatments-and-vaccines-for-ebola-disease-caused-by-bundibugyo-virus,High,R&D prioritization
2026-05-28,CDC,United States; affected countries,Clinician education,CDC COCA call slides on Ebola Bundibugyo virus,"CDC provided clinical, IPC, testing and readiness recommendations.","Slides state no FDA-licensed vaccine against Bundibugyo virus, vaccine candidates are under evaluation, and ERVEBO is not expected to provide cross-protection based on available evidence. Useful for clinicians and importation preparedness.",CDC COCA slides,https://www.cdc.gov/coca/media/pdfs/2026/COCA-Call-Slides_05.28.2026.pdf,High,clinical readiness
2026-05-27,ECDC,EU/EEA; DRC; Uganda,Operational support,ECDC increases activities as outbreak intensifies,ECDC increased activities and maintained very-low EU/EEA risk assessment.,"ECDC provides European risk framing, EU Health Task Force support, case definition resources and current epidemiological page. Include as a fixed source in institutional update scraping.",ECDC,https://www.ecdc.europa.eu/en/news-events/ecdc-increases-activities-ebola-outbreak-drc-and-uganda-intensifies,High,international support
2026-05-22,CDC,United States; DRC; Uganda,Traveler management guidance,Interim guidance for travelers arriving from affected countries,CDC published public health assessment and management guidance.,"Important for cross-border importation risk management, monitoring, exposure assessment and public health follow-up.",CDC interim guidance,https://www.cdc.gov/viral-hemorrhagic-fevers/php/php/public-health-strategy/ebola-outbreak-interim-guidance.html,High,traveler monitoring
2026-05-21,Gavi,Global; DRC; Uganda,Vaccine financing/readiness,Gavi statement on Ebola disease outbreak in DRC and Uganda,Gavi highlighted the lack of licensed BVD vaccines/therapeutics and support context.,"Use to track financing, vaccine access considerations and coordination with CEPI/WHO/Africa CDC.",Gavi,https://www.gavi.org/news/media-room/gavi-statement-ebola-disease-outbreak-democratic-republic-congo-and-uganda,High,vaccine access
2026-05-20,MSF,DRC,Operational and clinical response,The Bundibugyo virus challenge: why this Ebola outbreak is different,MSF described response challenges and absence of approved BVD-specific products.,"Useful qualitative operational source on case management, IPC, community response, and why Bundibugyo differs from Zaire ebolavirus response assets.",MSF,https://www.msf.org/bundibugyo-virus-challenge-why-ebola-disease-outbreak-different,High,field operations
2026-05-19,CDC,United States; DRC; Uganda,Health Alert Network advisory,CDC HAN Health Advisory 00530,"CDC alerted clinicians, laboratories and public health practitioners.","HAN summarized the outbreak, clinical presentation, testing and biosafety considerations. It notes INRB confirmation of Bundibugyo virus in samples from suspected clusters.",CDC HAN,https://www.cdc.gov/han/php/notices/han00530.html,High,laboratory readiness
2026-05-18,ECDC,EU/EEA; DRC; Uganda,Deployment/readiness,ECDC activates EU Health Task Force,ECDC activated EU Health Task Force and deployed experts.,Include for tracking international technical assistance and European preparedness.,ECDC,https://www.ecdc.europa.eu/en/ebola-outbreak-democratic-republic-congo-and-uganda,High,technical assistance
2026-05-18,Africa CDC,Africa; DRC; Uganda,Continental emergency declaration,Africa CDC declares Public Health Emergency of Continental Security,Africa CDC escalated continental response framing.,"Important high-level governance item for continental coordination, financing and regional surge support.",Africa CDC,https://africacdc.org/news-item/africa-cdc-declares-the-ongoing-bundibugyo-ebola-outbreak-a-public-health-emergency-of-continental-security/,High,governance
2026-05-17,WHO,DRC; Uganda,PHEIC declaration,WHO determines DRC and Uganda Bundibugyo outbreak is a PHEIC,WHO Director-General determined the event to be a PHEIC.,Foundational event for global response escalation. Use for dashboard timeline anchor and policy context.,WHO,https://www.who.int/news/item/17-05-2026-epidemic-of-ebola-disease-in-the-democratic-republic-of-the-congo-and-uganda-determined-a-public-health-emergency-of-international-concern,High,governance
2026-05-16,WHO,DRC,Initial DON,"WHO DON602: Ebola disease caused by Bundibugyo virus, DRC",WHO described early outbreak situation and risk.,"Useful for early epidemiology, historical CFR context and initial public health measures. WHO notes past BVD outbreak CFRs of approximately 30% to 50%.",WHO DON602,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602,High,epidemiology
2026-05-15,Africa CDC,DRC; Uganda; South Sudan,Regional coordination,Africa CDC calls for urgent regional coordination,Africa CDC called for regional coordination after DRC outbreak and imported Uganda case.,"Early signal for IMST activation, surge support, cross-border surveillance, laboratory, IPC, case management, RCCE, safe burial, logistics and resource mobilization.",Africa CDC,https://africacdc.org/news-item/africa-cdc-calls-for-urgent-regional-coordination-following-ebola-virus-disease-outbreak-in-ituri-province-drc-and-imported-ebola-bundibugyo-case-reported-by-uganda/,High,regional coordination
